Title,Author,In A Series,Pages,Year,Genres/Tags
The LambLucy Rose,Lucy Rose,False,326,2025,"['dark', 'literary', 'lgbtqia+', 'emotional', 'tense', 'fiction', 'horror', 'medium-paced']"
This Is How You Lose the Time WarMax Gladstone,Max Gladstone,False,198,2019,"['adventurous', 'lgbtqia+', 'science fiction', 'emotional', 'medium-paced', 'mysterious', 'fiction', 'romance']"
Say You'll Remember MeAbby Jimenez,Abby Jimenez,True,358,2025,"['hopeful', 'contemporary', 'emotional', 'medium-paced', 'funny', 'fiction', 'romance']"
In Your DreamsSarah Adams,Sarah Adams,True,352,2025,"['lighthearted', 'contemporary', 'emotional', 'medium-paced', 'funny', 'fiction', 'romance']"
Station ElevenEmily St. John Mandel,Emily St. John Mandel,False,333,2014,"['dark', 'adventurous', 'literary', 'medium-paced', 'dystopian', 'fiction', 'reflective']"
The Night CircusErin Morgenstern,Erin Morgenstern,False,387,2011,"['adventurous', 'fantasy', 'mysterious', 'slow-paced', 'fiction', 'romance']"
StonerJohn Williams,John Williams,False,278,1965,"['sad', 'classics', 'literary', 'emotional', 'medium-paced', 'historical', 'fiction', 'reflective']"
Part of Your WorldAbby Jimenez,Abby Jimenez,True,388,2022,"['hopeful', 'contemporary', 'emotional', 'medium-paced', 'funny', 'fiction', 'romance']"
The Only One LeftRiley Sager,Riley Sager,False,383,2023,"['mystery', 'dark', 'tense', 'mysterious', 'thriller', 'fiction', 'horror', 'medium-paced']"
The Unselected Journals of Emma M. Lion: Vol. 1Beth Brower,Beth Brower,True,107,2019,"['lighthearted', 'fast-paced', 'funny', 'historical', 'fiction']"
Fahrenheit 451Ray Bradbury,Ray Bradbury,False,249,1953,"['dark', 'classics', 'science fiction', 'medium-paced', 'tense', 'dystopian', 'fiction', 'reflective']"
And Then There Were NoneAgatha Christie,Agatha Christie,False,264,1939,"['mystery', 'dark', 'classics', 'fast-paced', 'tense', 'mysterious', 'fiction', 'crime']"
Emily Wilde's Encyclopaedia of FaeriesHeather Fawcett,Heather Fawcett,True,317,2023,"['adventurous', 'lighthearted', 'fantasy', 'funny', 'historical', 'fiction', 'medium-paced']"
The Way of KingsBrandon Sanderson,Brandon Sanderson,True,1007,2010,"['adventurous', 'emotional', 'fantasy', 'fiction', 'medium-paced']"
The SafekeepYael van der Wouden,Yael van der Wouden,False,262,2024,"['sad', 'literary', 'lgbtqia+', 'emotional', 'medium-paced', 'historical', 'fiction', 'reflective']"
Lights OutNavessa Allen,Navessa Allen,True,400,2024,"['dark', 'romance', 'funny', 'fiction', 'medium-paced']"
Across the Vanishing SkyCatherine Cowles,Catherine Cowles,True,432,2026,"['emotional', 'medium-paced', 'tense', 'mysterious', 'fiction', 'romance']"
None of This Is TrueLisa Jewell,Lisa Jewell,False,370,2023,"['mystery', 'dark', 'fast-paced', 'tense', 'mysterious', 'thriller', 'fiction']"
Assistant to the VillainHannah Nicole Maehrer,Hannah Nicole Maehrer,True,340,2023,"['adventurous', 'lighthearted', 'fantasy', 'medium-paced', 'funny', 'fiction', 'romance']"
His & HersAlice Feeney,Alice Feeney,False,308,2020,"['mystery', 'dark', 'tense', 'mysterious', 'thriller', 'fiction', 'medium-paced']"
A Guardian and a ThiefMegha Majumdar,Megha Majumdar,False,224,2025,"['sad', 'dark', 'literary', 'fiction', 'medium-paced']"
The VegetarianHan Kang,Han Kang,False,187,2007,"['sad', 'dark', 'literary', 'contemporary', 'tense', 'fiction', 'medium-paced']"
Star ShippedCat Sebastian,Cat Sebastian,False,368,2026,"['hopeful', 'lgbtqia+', 'contemporary', 'emotional', 'medium-paced', 'funny', 'fiction', 'romance']"
The Very Secret Society of Irregular WitchesSangu Mandanna,Sangu Mandanna,False,318,2022,"['hopeful', 'lighthearted', 'contemporary', 'fantasy', 'medium-paced', 'funny', 'fiction', 'romance']"
The River Has RootsAmal El-Mohtar,Amal El-Mohtar,False,133,2025,"['adventurous', 'emotional', 'fantasy', 'fast-paced', 'mysterious', 'fiction']"
Listen for the LieAmy Tintera,Amy Tintera,False,336,2024,"['mystery', 'dark', 'fast-paced', 'tense', 'mysterious', 'thriller', 'fiction']"
Divine RivalsRebecca Ross,Rebecca Ross,True,357,2023,"['young adult', 'adventurous', 'emotional', 'fantasy', 'medium-paced', 'tense', 'fiction', 'romance']"
The CompoundAisling Rawle,Aisling Rawle,False,292,2025,"['dark', 'literary', 'contemporary', 'science fiction', 'tense', 'mysterious', 'thriller', 'fiction', 'medium-paced']"
Beautiful UglyAlice Feeney,Alice Feeney,False,306,2025,"['mystery', 'dark', 'tense', 'mysterious', 'thriller', 'fiction', 'medium-paced']"
Golden SonPierce Brown,Pierce Brown,True,446,2015,"['dark', 'adventurous', 'science fiction', 'fast-paced', 'tense', 'dystopian', 'fiction']"
Half CityKate Golden,Kate Golden,True,480,2026,"['dark', 'adventurous', 'fantasy', 'medium-paced', 'mysterious', 'fiction', 'romance']"
Butter: A Novel of Food and MurderAsako Yuzuki,Asako Yuzuki,False,452,2017,"['reflective', 'dark', 'literary', 'contemporary', 'mysterious', 'slow-paced', 'fiction', 'crime']"
A Good Girl's Guide to MurderHolly Jackson,Holly Jackson,True,433,2019,"['mystery', 'adventurous', 'young adult', 'fast-paced', 'tense', 'mysterious', 'thriller', 'fiction']"
